PET_ID,NAME,AGE,SPECIES,BREED,GENDER,HEALTH_STATUS,WEIGHT,COAT_LENGTH,IMAGE_URL,DESCRIPTION,ADOPTION_CENTER_ID,STATUS,AVAILABLE
19,Janaya,19,Cat,Birman,Female,Fair,151,Long,,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",2,Verified,1
20,Rene,7,Dog,Poodle,Male,Excellent,19,Short,,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.,0,Unverified,1
21,Geri,29,Dog,Siberian Husky,Female,Poor,94,Medium,,Sed ante. Vivamus tortor. Duis mattis egestas metus.,1,Unverified,1
22,Jo-anne,44,Dog,Australian Shepard,Female,Poor,159,Medium,,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",5,Unverified,1
23,Emmott,45,Dog,Beagle,Male,Excellent,184,Long,,Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.,1,Unverified,1
24,Brucie,10,Cat,British Shorthair,Male,Poor,168,Short,,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",5,Verified,1
25,Donnie,26,Dog,Bulldog,Male,Fair,51,Short,,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",5,Verified,1
26,Angelia,15,Cat,Bengal,Female,Fair,175,Medium,,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.,0,Verified,1
27,Kele,26,Dog,Bulldog,Male,Good,63,Short,,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.,3,Verified,1
28,Vitoria,3,Cat,British Shorthair,Female,Excellent,166,Short,,"Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",3,Unverified,1
29,Vinni,38,Cat,Bengal,Female,Poor,108,Short,,Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.,0,Unverified,1
30,Kally,39,Cat,Ragdoll,Female,Excellent,46,Medium,,In congue. Etiam justo. Etiam pretium iaculis justo.,1,Verified,1
31,Morty,36,Dog,Golden Retriever,Male,Fair,140,Long,,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.,2,Verified,1
32,Inger,10,Cat,Maine Coon,Female,Fair,12,Medium,,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.",1,Unverified,1
33,Alice,7,Dog,Poodle,Female,Fair,73,Short,,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",1,Unverified,1
34,Rollie,31,Dog,Beagle,Male,Fair,90,Long,,Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.,4,Unverified,1
35,Dalli,11,Dog,Poodle,Male,Poor,13,Long,,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.",4,Unverified,1
36,Ogden,37,Dog,Australian Shepard,Male,Excellent,49,Short,,Phasellus in felis. Donec semper sapien a libero. Nam dui.,2,Verified,1
37,Philippa,9,Cat,Abyssinian,Female,Poor,126,Short,,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",1,Unverified,1
38,Charline,32,Cat,Persian,Female,Poor,118,Short,,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",0,Unverified,1
39,Patton,17,Dog,Bulldog,Male,Fair,20,Long,,Phasellus in felis. Donec semper sapien a libero. Nam dui.,0,Verified,1
40,Eddi,12,Cat,Bengal,Female,Poor,80,Long,,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.",0,Verified,1
41,Lee,35,Cat,Birman,Female,Good,149,Medium,,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",5,Verified,1
42,Svend,5,Cat,Siamese,Male,Excellent,144,Long,,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",2,Verified,1
43,Tarra,42,Cat,Siamese,Female,Excellent,141,Medium,,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",2,Unverified,1
44,Grover,44,Cat,Persian,Male,Fair,186,Long,,Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.,2,Unverified,1
45,Knox,5,Cat,Maine Coon,Male,Poor,7,Long,,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.",4,Unverified,1
46,Alphonse,19,Dog,Dachshund,Male,Poor,129,Short,,Fusce consequat. Nulla nisl. Nunc nisl.,3,Unverified,1
47,Kevina,25,Dog,German Shepard,Female,Poor,44,Medium,,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",1,Verified,1
48,Lawton,25,Dog,Rottweiler,Male,Excellent,164,Short,,Sed ante. Vivamus tortor. Duis mattis egestas metus.,3,Unverified,1
49,Fidela,6,Dog,German Shepard,Female,Poor,146,Medium,,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.",3,Unverified,1
50,Hagen,38,Dog,Bulldog,Male,Excellent,23,Short,,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",0,Verified,1
51,Mia,49,Dog,Labrador,Female,Poor,45,Long,,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.,4,Unverified,1
52,Jeanette,18,Cat,Persian,Female,Poor,40,Short,,Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.,0,Verified,1
53,Dwight,7,Dog,Labrador,Male,Good,137,Short,,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",0,Unverified,1
54,Tedman,15,Cat,Persian,Male,Good,85,Medium,,In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.,0,Verified,1
55,Jolee,42,Cat,Scottish Fold,Female,Excellent,57,Medium,,Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.,1,Unverified,1
56,Mycah,9,Cat,Scottish Fold,Male,Good,177,Medium,,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.,2,Verified,1
57,Hershel,36,Cat,Sphynx,Male,Fair,152,Short,,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",5,Verified,1
58,Sigfried,5,Cat,Persian,Male,Fair,88,Short,,Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.,4,Verified,1
59,Jermain,14,Dog,German Shepard,Male,Excellent,86,Short,,In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.,5,Unverified,1
60,Gale,20,Cat,Abyssinian,Male,Excellent,153,Medium,,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",3,Unverified,1
61,Danell,49,Cat,British Shorthair,Female,Fair,0,Long,,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",1,Unverified,1
62,Leonore,14,Cat,British Shorthair,Female,Fair,20,Short,,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.",4,Verified,1
63,Silva,38,Cat,Sphynx,Female,Fair,182,Medium,,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",2,Verified,1
64,Sophie,6,Cat,Siamese,Female,Fair,171,Long,,Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.,4,Verified,1
65,Bernette,47,Dog,Bulldog,Female,Fair,101,Short,,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",1,Unverified,1
66,Bertie,32,Dog,Siberian Husky,Male,Excellent,94,Short,,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.,1,Unverified,1
67,Reider,13,Dog,Australian Shepard,Male,Good,169,Medium,,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",2,Verified,1
68,Rab,48,Dog,Boxer,Male,Poor,113,Short,,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.,3,Verified,1
69,Arin,12,Cat,Abyssinian,Male,Excellent,43,Short,,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",3,Verified,1
70,Morry,37,Cat,British Shorthair,Male,Good,108,Long,,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.,2,Verified,1
71,Reynold,18,Dog,Beagle,Male,Excellent,151,Short,,In congue. Etiam justo. Etiam pretium iaculis justo.,1,Unverified,1
72,Foss,32,Dog,Poodle,Male,Fair,96,Medium,,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",1,Unverified,1
73,Florina,29,Dog,Australian Shepard,Female,Good,169,Long,,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.,5,Verified,1
74,Lion,6,Cat,Siamese,Male,Fair,152,Medium,,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",3,Verified,1
75,Hugo,21,Cat,Sphynx,Male,Fair,47,Long,,In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.,3,Verified,1
76,Gianna,29,Cat,Birman,Female,Fair,2,Long,,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",3,Unverified,1
77,Harry,21,Cat,Ragdoll,Male,Poor,186,Medium,,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.",2,Unverified,1
78,Elwood,44,Dog,German Shepard,Male,Excellent,72,Short,,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.",1,Unverified,1
79,Falito,40,Cat,Siamese,Male,Excellent,47,Medium,,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.,5,Unverified,1
80,Clare,14,Cat,Ragdoll,Female,Fair,143,Short,,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.,0,Verified,1
81,Hashim,22,Dog,Poodle,Male,Good,174,Short,,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",0,Verified,1
82,Bret,12,Cat,Maine Coon,Male,Good,66,Medium,,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.,1,Unverified,1
83,Rennie,46,Cat,British Shorthair,Female,Good,120,Short,,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",4,Verified,1
84,Goran,29,Cat,Siamese,Male,Fair,23,Long,,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",0,Unverified,1
85,Dodie,45,Dog,Boxer,Female,Good,50,Short,,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",3,Verified,1
86,Ximenez,19,Cat,Bengal,Male,Excellent,193,Medium,,Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.,5,Verified,1
87,Jeremy,50,Cat,Scottish Fold,Male,Good,147,Long,,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",3,Unverified,1
88,Sue,3,Dog,Beagle,Female,Excellent,83,Short,,Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.,5,Verified,1
89,Caryl,41,Dog,Rottweiler,Male,Poor,93,Short,,Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.,4,Unverified,1
90,Tabbi,26,Cat,Persian,Female,Fair,46,Short,,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",5,Unverified,1
91,Caressa,0,Cat,Bengal,Female,Poor,157,Medium,,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",4,Verified,1
92,Cart,37,Cat,Maine Coon,Male,Excellent,41,Medium,,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.,1,Verified,1
93,Katrinka,46,Cat,Siamese,Female,Fair,45,Long,,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.",1,Verified,1
94,Dulcy,49,Cat,Ragdoll,Female,Fair,120,Medium,,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",5,Unverified,1
95,Hermon,40,Cat,Bengal,Male,Good,107,Short,,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",3,Verified,1
96,Windham,7,Dog,Poodle,Male,Poor,165,Medium,,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",5,Verified,1
97,Halette,31,Dog,Bulldog,Female,Fair,79,Long,,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.,4,Verified,1
98,Sawyer,27,Cat,Abyssinian,Male,Excellent,142,Long,,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",3,Unverified,1
99,Stacy,32,Cat,Ragdoll,Male,Good,162,Long,,In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.,4,Verified,1
100,Fianna,18,Cat,Scottish Fold,Female,Excellent,27,Short,,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",1,Unverified,1
101,Saxe,11,Cat,Ragdoll,Male,Excellent,142,Medium,,Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.,2,Unverified,1
102,Minette,2,Cat,Scottish Fold,Female,Good,35,Long,,Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.,1,Verified,1
103,Thornie,38,Dog,Dachshund,Male,Excellent,11,Short,,Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.,5,Verified,1
104,Haskel,29,Dog,Beagle,Male,Poor,101,Long,,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",3,Unverified,1
105,Amory,18,Dog,Labrador,Male,Excellent,91,Long,,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",3,Verified,1
106,Tabor,38,Dog,Beagle,Male,Fair,129,Medium,,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",2,Unverified,1
107,Kristan,22,Dog,Beagle,Female,Excellent,41,Short,,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",1,Verified,1
108,Cindie,47,Cat,Maine Coon,Female,Poor,49,Short,,Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.,5,Unverified,1
109,Maddalena,9,Dog,German Shepard,Female,Excellent,5,Medium,,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus.",2,Unverified,1
110,Marietta,16,Cat,Sphynx,Male,Poor,42,Medium,,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.",3,Verified,1
111,Brnaby,17,Dog,Australian Shepard,Male,Fair,121,Short,,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",3,Verified,1
112,Radcliffe,45,Cat,Abyssinian,Male,Good,153,Short,,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",5,Verified,1
113,Elaine,36,Cat,Maine Coon,Female,Good,73,Long,,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",4,Verified,1
114,Dore,15,Dog,Labrador,Male,Poor,59,Medium,,Phasellus in felis. Donec semper sapien a libero. Nam dui.,3,Unverified,1
115,Bernard,0,Dog,Boxer,Male,Poor,136,Long,,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.,3,Verified,1
116,Izak,45,Cat,Scottish Fold,Male,Poor,168,Long,,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.,1,Unverified,1
117,Karol,10,Cat,Ragdoll,Female,Fair,13,Medium,,Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.,4,Unverified,1
118,Rycca,48,Dog,Golden Retriever,Female,Excellent,187,Medium,,Fusce consequat. Nulla nisl. Nunc nisl.,1,Verified,1
119,Eleen,49,Dog,Boxer,Female,Fair,84,Medium,,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",1,Unverified,1
120,Yul,50,Cat,Ragdoll,Male,Poor,175,Medium,,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",5,Unverified,1
121,Vaughn,47,Cat,Sphynx,Male,Excellent,88,Short,,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",0,Verified,1
122,Cosmo,16,Dog,Beagle,Male,Fair,195,Medium,,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",1,Unverified,1
123,Simone,15,Cat,Birman,Male,Fair,35,Long,,Fusce consequat. Nulla nisl. Nunc nisl.,3,Verified,1
124,Hirsch,36,Dog,Labrador,Male,Good,34,Short,,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",5,Unverified,1
125,Margot,41,Dog,Beagle,Female,Poor,171,Medium,,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.",5,Verified,1
126,Vyky,3,Cat,Scottish Fold,Female,Fair,84,Short,,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",3,Unverified,1
127,Kean,28,Dog,Australian Shepard,Male,Fair,44,Medium,,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.,5,Verified,1
128,Jenda,41,Cat,Bengal,Female,Fair,28,Medium,,Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.,0,Unverified,1
129,Tyson,44,Dog,Bulldog,Male,Poor,124,Long,,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.,4,Verified,1
130,Kaleena,11,Cat,Birman,Female,Excellent,68,Short,,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",2,Unverified,1
131,Rickie,30,Cat,Siamese,Male,Poor,141,Medium,,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.",4,Unverified,1
132,Emlynn,50,Cat,Siamese,Female,Excellent,86,Long,,In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.,1,Verified,1
133,Clari,14,Dog,Labrador,Female,Poor,100,Long,,Phasellus in felis. Donec semper sapien a libero. Nam dui.,4,Unverified,1
134,Allx,10,Cat,Maine Coon,Female,Poor,160,Medium,,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.",2,Unverified,1
135,Tommy,21,Dog,Bulldog,Male,Good,151,Short,,Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.,3,Unverified,1
